             TEAM VS. TEAM STANDINGS

Houston Rockets          39-14
   Anaheim Amigos:        3- 1
   San Antonio Spurs:     0- 0
   Dallas Chaparrals:     2- 1
   Trenton Cagers:        1- 1
   Kentucky Colonels:     1- 0
   Miami Floridians:      1- 1
   Minnesota Muskies:     0- 0
   Baltimore Claws:       2- 0
   Carolina Cougars:      0- 0
   Pittsburgh Condors:    3- 0
   Virginia Squires:      2- 0
   New Jersey Americans:  0- 0

   Conference:           21- 6
   Non-Conference:       17-11


Anaheim Amigos           31-23

   Houston Rockets:       0- 0
   Phoenix Suns:          2- 0
   Denver Nuggets:        0- 0
   Portland Trailblazers: 1- 1
   Oklahoma City Thunder: 2- 0
   Cleveland Cavaliers:   2- 0
   Orlando Magic:         0- 3
   Toronto Raptors:       1- 1
   Detroit Pistons:       2- 0
   Rochester Royals:      1- 0
   KC-Omaha Kings:        1- 2
   Boston Celtics:        1- 0
   Syracuse Nationals:    2- 1
   Washington Wizards:    1- 2
   Brooklyn Nets:         0- 0
   Oakland Oaks:          2- 1
   San Diego Qs:          0- 0
   Utah Stars:            1- 3
   San Antonio Spurs:     3- 1
   Dallas Chaparrals:     2- 0
   Trenton Cagers:        0- 0
   Kentucky Colonels:     1- 1
   Miami Floridians:      2- 1
   Minnesota Muskies:     1- 2
   Baltimore Claws:       1- 0
   Carolina Cougars:      0- 2
   Pittsburgh Condors:    0- 1
   Virginia Squires:      0- 1
   New Jersey Americans:  2- 0

   Conference:           15-13
   Non-Conference:       16-10


San Antonio Spurs        29-24

   Houston Rockets:       1- 1
   Phoenix Suns:          0- 2
   Denver Nuggets:        2- 0
   Portland Trailblazers: 0- 0
   Oklahoma City Thunder: 2- 1
   Cleveland Cavaliers:   1- 2
   Orlando Magic:         2- 0
   Toronto Raptors:       0- 1
   Detroit Pistons:       2- 0
   Rochester Royals:      0- 2
   KC-Omaha Kings:        2- 0
   Boston Celtics:        1- 2
   Syracuse Nationals:    0- 0
   Washington Wizards:    0- 2
   Brooklyn Nets:         3- 0
   Oakland Oaks:          4- 0
   San Diego Qs:          1- 3
   Utah Stars:            0- 0
   Anaheim Amigos:        1- 3
   Dallas Chaparrals:     2- 1
   Trenton Cagers:        0- 0
   Kentucky Colonels:     0- 0
   Miami Floridians:      3- 0
   Minnesota Muskies:     0- 0
   Baltimore Claws:       1- 0
   Carolina Cougars:      0- 0
   Pittsburgh Condors:    0- 2
   Virginia Squires:      1- 2
   New Jersey Americans:  0- 0

   Conference:           13-11
   Non-Conference:       16-13


Dallas Chaparrals        22-34

   Houston Rockets:       0- 2
   Phoenix Suns:          0- 0
   Denver Nuggets:        2- 0
   Portland Trailblazers: 0- 3
   Oklahoma City Thunder: 2- 1
   Cleveland Cavaliers:   0- 0
   Orlando Magic:         0- 3
   Toronto Raptors:       1- 1
   Detroit Pistons:       0- 1
   Rochester Royals:      1- 1
   KC-Omaha Kings:        0- 0
   Boston Celtics:        2- 0
   Syracuse Nationals:    1- 0
   Washington Wizards:    0- 1
   Brooklyn Nets:         1- 0
   Oakland Oaks:          0- 0
   San Diego Qs:          0- 3
   Utah Stars:            1- 2
   Anaheim Amigos:        0- 2
   San Antonio Spurs:     1- 2
   Trenton Cagers:        1- 1
   Kentucky Colonels:     2- 2
   Miami Floridians:      0- 3
   Minnesota Muskies:     1- 3
   Baltimore Claws:       0- 0
   Carolina Cougars:      3- 0
   Pittsburgh Condors:    1- 1
   Virginia Squires:      2- 0
   New Jersey Americans:  0- 2

   Conference:           12-21
   Non-Conference:       10-13


Trenton Cagers           28-25

   Houston Rockets:       0- 0
   Phoenix Suns:          3- 0
   Denver Nuggets:        1- 1
   Portland Trailblazers: 3- 0
   Oklahoma City Thunder: 0- 2
