       0                  Team                   Name          Gp   Min     Ppg     FGM     FGA     FG%     FTM     FTA     FT%    3pt Made 3pt Att   3pt%   O Reb    Reb     Ast      PF     STL      TO     BLK      TF
       26            Baltimore Claws        Antonello Riva     53   22.5    14.1    4.8     10.1    .481    3.1     4.9     .631     1.3      3.3     .410    0.6     1.8     0.6     2.4     1.5      2       0       0
       26            Baltimore Claws          Ron Harper       54   14.3    7.8     2.6     6.6     .396    1.6     2.4     .674     0.9      2.6     .331    0.5     1.9      2      1.4     0.8     1.4     0.3      0
       26            Baltimore Claws          Bill Spivey      54   31.8    16.4    6.7     12.9    .522    2.9     3.6     .787      0       0.1     .000    2.2      8      1.8     3.8      1      1.9     2.2      0
       26            Baltimore Claws         Tarzan Cooper     53    32     12.5    4.8     11.5    .420    2.8     4.5     .633      0       0.2     .000    3.2     9.1      2      4.4     1.2     2.3     1.8      0
       26            Baltimore Claws          Carl Landry      53   6.6     4.1     1.4     2.4     .581    1.2     1.5     .825      0        0      .000    0.5     1.2     0.3     0.8     0.3     0.4     0.2      0
       26            Baltimore Claws         Doug Christie     56   34.6    14.8    5.1     12.2    .415    3.5     4.2     .838     1.1      3.7     .300    1.1     4.1     4.6     3.2     2.9     2.7     0.6      0
       26            Baltimore Claws           Bob Cousy       56   31.8    14.7    5.8     12.5    .465    2.4     3.2     .729     0.8      2.4     .314    1.5     5.6     4.3      3      2.7     2.8     1.1      0
       26            Baltimore Claws        Kresimir Cosic     56   23.1    9.6     3.5     7.6     .453    2.1     2.8     .753     0.5      1.8     .283    1.9     6.2     1.9     3.2     0.9     1.6     0.6      0
       26            Baltimore Claws        Marques Haynes     55   29.6     11     4.2     9.4     .450    2.3     2.8     .812     0.3      0.8     .372    0.8     3.8     6.7     2.5     1.8     2.5     0.1      0
       26            Baltimore Claws          Curly Neal       56   11.6    4.4     1.4     3.4     .431     1      1.3     .761     0.5      1.1     .452    0.3      1      2.6     0.9     0.6     0.7     0.1      0
       26            Baltimore Claws         Shawn Bradley     36   9.2     3.3     1.3     2.6     .511    0.6     0.9     .676      0        0      .000    0.7     2.4     0.5     1.8     0.3     0.8     1.2      0
       26            Baltimore Claws          Bonzi Wells      22   5.5     2.4     0.8     1.6     .472    0.8     1.4     .581      0       0.2     .000    0.5     1.1     0.8     0.7     0.5     0.6      0       0
       26            Baltimore Claws         Lamond Murray     3    1.7      2       1      1.3     .750     0       0      .000      0        0      .000     0      0.3      0      0.7      0       0       0       0
       26            Baltimore Claws          Fred Brown       1     1       0       0       1      .000     0       0      .000      0        0      .000     0       0       0       0       0       1       0       0
       26            Baltimore Claws            Totals         56  240.5   109.7    40.7    88.9    .458    23.1    31.6    .730     5.3      15.8    .334     13     43.8    26.9    26.5    13.8    18.6    7.5      0
       26            Baltimore Claws            DTotals        56  240.4   114.9    43.1    92.5    .465    23.9    31.1    .770     4.9      14.3    .341    16.7    51.5    29.1    27.3     10     19.3     6       0
       26                 Team                   Name          Gp   Min     FGM     FGA     FG%     FTM     FTA     FT%   3pt Made 3pt Att    3pt%   O Reb    Reb     Ast      PF     STL      TO     BLK      TF      ?
       27           Carolina Cougars        Michael Finley     53   38.9    18.2    7.1     15.8    .448    3.2     3.8     .832     0.8      3.1     .253    1.2     4.5     4.6     2.6     1.2     1.8     0.3      0
       27           Carolina Cougars        Mitch Richmond     53   20.7    11.4     4      8.5     .470    2.5     3.1     .809     0.9      1.9     .470    1.3     3.5     2.6     1.7     0.4     2.1      0       0
       27           Carolina Cougars        Terry Cummings     53   28.5    13.5    5.8     12.1    .479    1.9     3.1     .614      0       0.1     .000    1.9     6.2     2.2     3.5     1.2     1.6     0.6      0
       27           Carolina Cougars         Moses Malone      52   31.2    15.3    5.4     11.3    .482    4.4     5.7     .768     0.1      0.2     .400    4.1     9.8     1.4     2.9     0.8     2.4     0.8      0
       27           Carolina Cougars           Dan Issel       53   19.9    12.7    4.4      10     .436    3.6     4.3     .846     0.3      1.2     .266    1.5     5.3     1.8     2.4     0.6     0.8     0.5      0
       27           Carolina Cougars         Tobias Harris     6    9.2     4.8     1.8     3.3     .550    0.8      1      .833     0.3      0.7     .500    0.7     2.2     0.3     1.7      0      0.5      0       0
       27           Carolina Cougars        Detlef Schrempf    53   25.1    10.5    3.6     7.5     .479    2.6     3.1     .836     0.7      1.4     .493    1.1     4.8     3.1     3.4     0.5     1.4     0.5      0
       27           Carolina Cougars        Cliff Robinson     52   23.2    11.3    4.4     9.9     .442    2.5     3.5     .720      0       0.2     .000    1.4     5.6     1.3     2.3     0.9     1.7     1.1      0
       27           Carolina Cougars         Alex English      51   9.5     4.9     2.1     4.5     .457    0.8     0.8     .951      0        0     1.000    0.4     1.1     0.8     0.8     0.2     0.3      0       0
       27           Carolina Cougars        Hersey Hawkins     18    7      3.1      1      2.1     .486    0.8     0.9     .882     0.3      0.9     .294    0.3     1.1     0.7     0.6     0.4     0.4      0       0
       27           Carolina Cougars         James Worthy      1     6       2       0       2      .000     2       4      .500      0        0      .000     0       0       1       0       0       0       0       0
       27           Carolina Cougars         Sergei Belov      53   12.1    5.6     1.9     4.3     .445    1.5     1.7     .879     0.3      0.8     .350    0.5     1.5     1.9     1.1     0.6      1      0.2      0
       27           Carolina Cougars         Andre Miller      52    23     8.4     3.1     7.2     .431     2      2.8     .729     0.2      0.6     .333     1      2.6     6.3     2.1      1       2      0.2      0
       27           Carolina Cougars        Rod Strickland     15    8      2.1     0.8     2.3     .343    0.5     0.7     .700      0       0.2     .000     0      0.7     1.9     0.7     0.4     1.1      0       0
       27           Carolina Cougars            Totals         53  239.9   114.1    42.2    92.5    .456    26.1    33.2    .785     3.7       11     .333    14.6     46      28     23.7    8.2     15.8    4.2      0
       27           Carolina Cougars            DTotals        53  239.9   119.6    46.8    92.2    .508    20.8    26.9    .773     5.2      14.2    .369    13.2    47.9     30     28.1    9.4     17.2    6.2      0
       27                 Team                   Name          Gp   Min     FGM     FGA     FG%     FTM     FTA     FT%   3pt Made 3pt Att    3pt%   O Reb    Reb     Ast      PF     STL      TO     BLK      TF      ?
       28          Pittsburgh Condors       Gilbert Arenas     54    37     23.1    7.6     16.8    .453    5.8     7.1     .810     2.1      5.6     .385    0.8     3.1     6.5     3.7     2.2     3.5     0.3      0
       28          Pittsburgh Condors      Latrell Sprewell    53   37.2    20.5     7      15.6    .447    5.1     5.8     .868     1.5      4.5     .329    1.2     4.1     6.1     2.6     1.6     2.7     0.7      0
       28          Pittsburgh Condors         Cliff Hagan      54   31.7    14.9    5.8     11.4    .507     3      3.8     .800     0.3      1.3     .235    1.9     6.4      4      4.1     1.5     3.4     1.4      0
       28          Pittsburgh Condors        Mike Mitchell     36   6.9     4.4     1.7     3.5     .480    0.8     1.2     .714     0.2      0.3     .667    0.7      2      0.2     0.5      0      0.2     0.2      0
       28          Pittsburgh Condors         Monta Ellis      54   10.9    5.4      2      4.5     .446    1.2     1.6     .765     0.2      0.6     .367    0.1     1.1     1.5     0.9     0.6      1      0.1      0
       28          Pittsburgh Condors          Vin Baker       54   12.6    5.8     2.3     4.3     .526    1.2      2      .578      0       0.1     .333    1.2     3.4     1.1     1.7     0.5     0.8     0.4      0
       28          Pittsburgh Condors         Mike Bibby       54   8.5      4      1.6     3.2     .500    0.6     0.8     .810     0.2      0.7     .300    0.1     0.7     1.5     0.5     0.6     0.7      0       0
       28          Pittsburgh Condors          Ray Allen       8    5.1     2.1     0.9     2.1     .412    0.3     0.3    1.000     0.1      0.8     .167     0      0.6     0.1     0.6     0.1     0.4     0.1      0
       28          Pittsburgh Condors        Kevin Garnett     34   26.1    12.2    5.5     9.7     .562    1.2     1.6     .755     0.1      0.1     .667    1.9      7      2.9     3.1      1      1.4     0.9      0
       28          Pittsburgh Condors       Mickey Johnson     54   15.1    6.2     2.1     5.1     .409    1.8     2.1     .866     0.3       1      .283     1      3.3     2.3     2.2     0.3     1.3     0.3      0
       28          Pittsburgh Condors        Nene Hilario      54   20.2    8.5     3.2     5.5     .586     2       3      .679      0        0      .000    1.5     4.6     1.7     3.1     0.8     0.8     0.6      0
       28          Pittsburgh Condors       DeAndre Jordan     54   29.5    9.5      4       6      .674    1.5      4      .374      0        0      .000    4.5     12.6    0.6     4.2      1      0.8      2       0
       28          Pittsburgh Condors         Jason Terry      22   7.2     2.5     0.8     2.5     .309    0.8      1      .773     0.1      0.8     .167    0.2     0.5     1.6     0.5     0.2     0.6     0.1      0
       28          Pittsburgh Condors        Clifford Ray      1     11      3       1       2      .500     1       1     1.000      0        0      .000     0       4       1       3       1       1       0       0
       28          Pittsburgh Condors           Totals         54  240.1    118     42.7    88.8    .481    27.6    36.3    .759      5       14.8    .336    14.5    47.1     29     26.7    10.4    17.9    6.9      0
       28          Pittsburgh Condors           DTotals        54   240    117.3    44.4    92.6    .479    24.1    31.3    .769     4.5      14.6    .305    14.5    45.6    29.2    28.6    8.5      17      6       0
       28                 Team                   Name          Gp   Min     FGM     FGA     FG%     FTM     FTA     FT%   3pt Made 3pt Att    3pt%   O Reb    Reb     Ast      PF     STL      TO     BLK      TF      ?
       29           Virginia Squires         Stephen Curry     52   32.3    26.2    9.2     18.5    .495    4.5      5      .904     3.4       8      .423    0.9     4.3     6.2     2.7     2.2      3      0.2      0
       29           Virginia Squires        Sidney Moncrief    51   34.4    17.2     6      13.5    .446    4.5     5.4     .847     0.6      2.1     .305    1.6      4       5      3.1     1.6      2      0.4      0
